Method,numP,Width,Height,Ratio,Sample Index,Time (s),Status
SSI,314,50,50,0.12,39,0.029,Completed
SSI,314,50,50,0.12,40,0.026,Completed
SSI,314,50,50,0.12,41,0.029,Completed
SSI,314,50,50,0.12,42,0.030,Completed
SSI,314,50,50,0.12,43,0.032,Completed
SSI,314,50,50,0.12,44,0.027,Completed
SSI,314,50,50,0.12,45,0.027,Completed
SSI,314,50,50,0.12,46,0.021,Completed
SSI,314,50,50,0.12,47,0.026,Completed
SSI,314,50,50,0.12,48,0.028,Completed
SSI,314,50,50,0.12,49,0.031,Completed
SSI,314,50,50,0.12,50,0.029,Completed
SSI,314,50,50,0.12,51,0.031,Completed
SSI,314,50,50,0.12,52,0.032,Completed
SSI,314,50,50,0.12,53,0.025,Completed
SSI,314,50,50,0.12,54,0.031,Completed
SSI,314,50,50,0.12,55,0.029,Completed
SSI,314,50,50,0.12,56,0.031,Completed
SSI,314,50,50,0.12,57,0.033,Completed
SSI,314,50,50,0.12,58,0.026,Completed
SSI,314,50,50,0.12,59,0.024,Completed
SSI,314,50,50,0.12,60,0.024,Completed
SSI,314,50,50,0.12,61,0.028,Completed
SSI,314,50,50,0.12,62,0.029,Completed
SSI,314,50,50,0.12,63,0.029,Completed
SSI,314,50,50,0.12,64,0.028,Completed
SSI,314,50,50,0.12,65,0.027,Completed
SSI,314,50,50,0.12,66,0.026,Completed
SSI,314,50,50,0.12,67,0.031,Completed
SSI,314,50,50,0.12,68,0.026,Completed
SSI,314,50,50,0.12,69,0.029,Completed
SSI,314,50,50,0.12,70,0.028,Completed
SSI,314,50,50,0.12,71,0.029,Completed
SSI,314,50,50,0.12,72,0.030,Completed
SSI,314,50,50,0.12,73,0.028,Completed
SSI,314,50,50,0.12,74,0.020,Completed
SSI,314,50,50,0.12,75,0.021,Completed
SSI,314,50,50,0.12,76,0.026,Completed
SSI,314,50,50,0.12,77,0.026,Completed
SSI,314,50,50,0.12,78,0.021,Completed
SSI,314,50,50,0.12,79,0.022,Completed
SSI,314,50,50,0.12,80,0.032,Completed
SSI,314,50,50,0.12,81,0.028,Completed
SSI,314,50,50,0.12,82,0.031,Completed
SSI,314,50,50,0.12,83,0.024,Completed
SSI,314,50,50,0.12,84,0.024,Completed
SSI,314,50,50,0.12,85,0.032,Completed
SSI,314,50,50,0.12,86,0.025,Completed
