Method,numP,Width,Height,Ratio,Sample,Time_s,Status,Attempts,Rejects
SSI,314,50,50,0.130,20,0.030,Completed,344,30
SSI,314,50,50,0.130,21,0.027,Completed,339,25
SSI,314,50,50,0.130,22,0.027,Completed,339,25
SSI,314,50,50,0.130,23,0.029,Completed,345,31
SSI,314,50,50,0.130,24,0.029,Completed,350,36
SSI,314,50,50,0.130,25,0.030,Completed,348,34
SSI,314,50,50,0.130,26,0.029,Completed,348,34
SSI,314,50,50,0.130,27,0.030,Completed,345,31
SSI,314,50,50,0.130,28,0.028,Completed,345,31
SSI,314,50,50,0.130,29,0.029,Completed,345,31
SSI,314,50,50,0.130,30,0.028,Completed,352,38
SSI,314,50,50,0.130,31,0.029,Completed,347,33
SSI,314,50,50,0.130,32,0.030,Completed,353,39
SSI,314,50,50,0.130,33,0.033,Completed,350,36
SSI,314,50,50,0.130,34,0.028,Completed,345,31
SSI,314,50,50,0.130,35,0.029,Completed,345,31
SSI,314,50,50,0.130,36,0.036,Completed,346,32
SSI,314,50,50,0.130,37,0.035,Completed,346,32
SSI,314,50,50,0.130,38,0.029,Completed,348,34
SSI,314,50,50,0.130,39,0.029,Completed,352,38
SSI,314,50,50,0.130,40,0.030,Completed,350,36
SSI,314,50,50,0.130,41,0.028,Completed,347,33
SSI,314,50,50,0.130,42,0.028,Completed,348,34
SSI,314,50,50,0.130,43,0.027,Completed,338,24
SSI,314,50,50,0.130,44,0.028,Completed,346,32
SSI,314,50,50,0.130,45,0.028,Completed,353,39
SSI,314,50,50,0.130,46,0.030,Completed,352,38
SSI,314,50,50,0.130,47,0.028,Completed,351,37
SSI,314,50,50,0.130,48,0.029,Completed,340,26
SSI,314,50,50,0.130,49,0.031,Completed,342,28
SSI,314,50,50,0.130,50,0.029,Completed,342,28
SSI,314,50,50,0.130,51,0.030,Completed,345,31
SSI,314,50,50,0.130,52,0.031,Completed,344,30
SSI,314,50,50,0.130,53,0.031,Completed,354,40
SSI,314,50,50,0.130,54,0.029,Completed,338,24
SSI,314,50,50,0.130,55,0.029,Completed,351,37
SSI,314,50,50,0.130,56,0.029,Completed,344,30
SSI,314,50,50,0.130,57,0.031,Completed,346,32
SSI,314,50,50,0.130,58,0.030,Completed,355,41
SSI,314,50,50,0.130,59,0.030,Completed,353,39
SSI,314,50,50,0.130,60,0.029,Completed,342,28
SSI,314,50,50,0.130,61,0.028,Completed,342,28
SSI,314,50,50,0.130,62,0.032,Completed,345,31
SSI,314,50,50,0.130,63,0.029,Completed,339,25
SSI,314,50,50,0.130,64,0.043,Completed,354,40
SSI,314,50,50,0.130,65,0.028,Completed,334,20
SSI,314,50,50,0.130,66,0.029,Completed,337,23
SSI,314,50,50,0.130,67,0.029,Completed,341,27
SSI,314,50,50,0.130,68,0.031,Completed,345,31
SSI,314,50,50,0.130,69,0.030,Completed,345,31
SSI,314,50,50,0.130,70,0.029,Completed,344,30
SSI,314,50,50,0.130,71,0.030,Completed,358,44
SSI,314,50,50,0.130,72,0.028,Completed,347,33
SSI,314,50,50,0.130,73,0.028,Completed,338,24
SSI,314,50,50,0.130,74,0.029,Completed,351,37
SSI,314,50,50,0.130,75,0.028,Completed,341,27
SSI,314,50,50,0.130,76,0.028,Completed,346,32
SSI,314,50,50,0.130,77,0.043,Completed,348,34
SSI,314,50,50,0.130,78,0.029,Completed,346,32
SSI,314,50,50,0.130,79,0.029,Completed,345,31
SSI,314,50,50,0.130,80,0.029,Completed,346,32
SSI,314,50,50,0.130,81,0.029,Completed,348,34
SSI,314,50,50,0.130,82,0.034,Completed,350,36
SSI,314,50,50,0.130,83,0.026,Completed,337,23
SSI,314,50,50,0.130,84,0.027,Completed,344,30
SSI,314,50,50,0.130,85,0.029,Completed,365,51
SSI,314,50,50,0.130,86,0.027,Completed,345,31
SSI,314,50,50,0.130,87,0.029,Completed,342,28
SSI,314,50,50,0.130,88,0.030,Completed,354,40
SSI,314,50,50,0.130,89,0.027,Completed,347,33
SSI,314,50,50,0.130,90,0.029,Completed,346,32
SSI,314,50,50,0.130,91,0.028,Completed,345,31
SSI,314,50,50,0.130,92,0.028,Completed,348,34
SSI,314,50,50,0.130,93,0.027,Completed,344,30
SSI,314,50,50,0.130,94,0.027,Completed,341,27
SSI,314,50,50,0.130,95,0.031,Completed,347,33
SSI,314,50,50,0.130,96,0.027,Completed,342,28
SSI,314,50,50,0.130,97,0.028,Completed,351,37
SSI,314,50,50,0.130,98,0.027,Completed,343,29
SSI,314,50,50,0.130,99,0.028,Completed,349,35
SSI,314,50,50,0.140,0,0.030,Completed,357,43
SSI,314,50,50,0.140,1,0.029,Completed,350,36
SSI,314,50,50,0.140,2,0.031,Completed,355,41
SSI,314,50,50,0.140,3,0.029,Completed,349,35
SSI,314,50,50,0.140,4,0.028,Completed,345,31
SSI,314,50,50,0.140,5,0.030,Completed,354,40
SSI,314,50,50,0.140,6,0.029,Completed,349,35
SSI,314,50,50,0.140,7,0.029,Completed,348,34
SSI,314,50,50,0.140,8,0.030,Completed,365,51
SSI,314,50,50,0.140,9,0.030,Completed,358,44
SSI,314,50,50,0.140,10,0.027,Completed,350,36
SSI,314,50,50,0.140,11,0.030,Completed,350,36
SSI,314,50,50,0.140,12,0.030,Completed,348,34
SSI,314,50,50,0.140,13,0.028,Completed,354,40
SSI,314,50,50,0.140,14,0.029,Completed,356,42
SSI,314,50,50,0.140,15,0.028,Completed,339,25
SSI,314,50,50,0.140,16,0.027,Completed,344,30
SSI,314,50,50,0.140,17,0.030,Completed,359,45
SSI,314,50,50,0.140,18,0.029,Completed,352,38
SSI,314,50,50,0.140,19,0.031,Completed,356,42
SSI,314,50,50,0.140,20,0.027,Completed,350,36
SSI,314,50,50,0.140,21,0.029,Completed,357,43
SSI,314,50,50,0.140,22,0.031,Completed,355,41
SSI,314,50,50,0.140,23,0.027,Completed,338,24
SSI,314,50,50,0.140,24,0.029,Completed,354,40
SSI,314,50,50,0.140,25,0.029,Completed,357,43
SSI,314,50,50,0.140,26,0.028,Completed,341,27
SSI,314,50,50,0.140,27,0.029,Completed,351,37
SSI,314,50,50,0.140,28,0.028,Completed,347,33
SSI,314,50,50,0.140,29,0.027,Completed,340,26
SSI,314,50,50,0.140,30,0.030,Completed,358,44
SSI,314,50,50,0.140,31,0.028,Completed,342,28
SSI,314,50,50,0.140,32,0.027,Completed,346,32
SSI,314,50,50,0.140,33,0.038,Completed,360,46
SSI,314,50,50,0.140,34,0.037,Completed,354,40
SSI,314,50,50,0.140,35,0.035,Completed,356,42
SSI,314,50,50,0.140,36,0.031,Completed,350,36
SSI,314,50,50,0.140,37,0.032,Completed,342,28
SSI,314,50,50,0.140,38,0.029,Completed,348,34
SSI,314,50,50,0.140,39,0.028,Completed,352,38
SSI,314,50,50,0.140,40,0.030,Completed,360,46
SSI,314,50,50,0.140,41,0.031,Completed,358,44
SSI,314,50,50,0.140,42,0.029,Completed,352,38
SSI,314,50,50,0.140,43,0.029,Completed,349,35
SSI,314,50,50,0.140,44,0.028,Completed,343,29
SSI,314,50,50,0.140,45,0.030,Completed,355,41
SSI,314,50,50,0.140,46,0.031,Completed,345,31
SSI,314,50,50,0.140,47,0.030,Completed,352,38
SSI,314,50,50,0.140,48,0.029,Completed,353,39
SSI,314,50,50,0.140,49,0.031,Completed,359,45
SSI,314,50,50,0.140,50,0.029,Completed,359,45
SSI,314,50,50,0.140,51,0.028,Completed,346,32
SSI,314,50,50,0.140,52,0.030,Completed,351,37
SSI,314,50,50,0.140,53,0.030,Completed,353,39
SSI,314,50,50,0.140,54,0.031,Completed,349,35
SSI,314,50,50,0.140,55,0.033,Completed,349,35
SSI,314,50,50,0.140,56,0.036,Completed,351,37
SSI,314,50,50,0.140,57,0.033,Completed,352,38
SSI,314,50,50,0.140,58,0.030,Completed,340,26
SSI,314,50,50,0.140,59,0.031,Completed,359,45
SSI,314,50,50,0.140,60,0.035,Completed,341,27
SSI,314,50,50,0.140,61,0.037,Completed,351,37
SSI,314,50,50,0.140,62,0.028,Completed,351,37
SSI,314,50,50,0.140,63,0.030,Completed,342,28
SSI,314,50,50,0.140,64,0.030,Completed,352,38
SSI,314,50,50,0.140,65,0.035,Completed,350,36
SSI,314,50,50,0.140,66,0.035,Completed,350,36
SSI,314,50,50,0.140,67,0.036,Completed,348,34
SSI,314,50,50,0.140,68,0.034,Completed,347,33
SSI,314,50,50,0.140,69,0.032,Completed,345,31
SSI,314,50,50,0.140,70,0.032,Completed,355,41
SSI,314,50,50,0.140,71,0.031,Completed,343,29
SSI,314,50,50,0.140,72,0.038,Completed,343,29
SSI,314,50,50,0.140,73,0.038,Completed,358,44
